song,midi_precision,midi_recall,midi_f1,offset_accuracy,velocity_accuracy,xml_precision,xml_recall,xml_f1,pred_notes,pred_chords,pred_measures
MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1,0.7552,0.7556,0.7554,0.5068,0.0018,0.923,0.8895,0.906,2312,935,118
MIDI-Unprocessed_041_PIANO041_MID--AUDIO-split_07-06-17_Piano-e_1-01_wav--1,0.686,0.6878,0.6869,0.4649,0.0145,0.737,0.7302,0.7336,1388,373,93
MIDI-Unprocessed_041_PIANO041_MID--AUDIO-split_07-06-17_Piano-e_1-01_wav--3,0.7693,0.7602,0.7647,0.0509,0.209,0.4089,0.4734,0.4388,4353,2664,110
MIDI-Unprocessed_044_PIANO044_MID--AUDIO-split_07-06-17_Piano-e_1-04_wav--3,0.9837,0.9488,0.9659,0.4081,0.0845,0.7245,0.7471,0.7356,2454,1154,82
MIDI-Unprocessed_047_PIANO047_MID--AUDIO-split_07-06-17_Piano-e_2-04_wav--2,0.9676,0.9242,0.9454,0.3002,0.0267,0.7026,0.7564,0.7285,4449,1984,144
MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1,1.0,0.9987,0.9993,0.8435,0.0018,0.8464,0.9147,0.8792,2623,550,235
MIDI-Unprocessed_051_PIANO051_MID--AUDIO-split_07-06-17_Piano-e_3-02_wav--1,1.0,0.9949,0.9975,0.8571,0.0051,0.4805,0.5094,0.4946,1465,300,134
MIDI-Unprocessed_051_PIANO051_MID--AUDIO-split_07-06-17_Piano-e_3-02_wav--5,0.8001,0.7671,0.7833,0.2488,0.1088,0.716,0.7266,0.7213,4539,2746,158
MIDI-Unprocessed_053_PIANO053_MID--AUDIO-split_07-06-17_Piano-e_3-04_wav--2,0.9015,0.8902,0.8959,0.1012,0.0081,0.3775,0.4672,0.4176,2906,1411,97
MIDI-Unprocessed_056_PIANO056_MID--AUDIO-split_07-07-17_Piano-e_1-05_wav--2,0.6942,0.682,0.688,0.0341,0.0015,0.3229,0.4009,0.3577,2626,859,85
